Epoch,Average Loss,Test Accuracy,Learning Rate
81,0.04,0.9279,0.001
82,0.0367,0.9283,0.001
83,0.0357,0.9275,0.001
84,0.0353,0.9287,0.001
85,0.0352,0.9283,0.001
86,0.0344,0.9295,0.001
87,0.0327,0.9281,0.001
88,0.0326,0.9298,0.001
89,0.0323,0.9311,0.001
90,0.032,0.929,0.001
91,0.0317,0.9295,0.001
92,0.0299,0.9293,0.001
93,0.0299,0.9314,0.001
94,0.0305,0.93,0.001
95,0.0307,0.9301,0.001
96,0.0286,0.9309,0.001
97,0.0277,0.9296,0.001
98,0.0283,0.9309,0.001
99,0.0291,0.9292,0.001
100,0.028,0.9301,0.001
101,0.0278,0.9303,0.001
102,0.0272,0.9315,0.001
103,0.0275,0.9292,0.001
104,0.0277,0.9297,0.001
105,0.0265,0.9308,0.001
106,0.0263,0.9312,0.001
107,0.0251,0.9292,0.001
108,0.026,0.9306,0.001
109,0.0259,0.9312,0.001
110,0.0258,0.932,0.001
111,0.0248,0.9307,0.001
112,0.0255,0.9317,0.001
113,0.0249,0.932,0.001
114,0.0256,0.9324,0.001
115,0.0252,0.9302,0.001
116,0.0243,0.9297,0.001
117,0.0239,0.931,0.001
118,0.0253,0.9304,0.001
119,0.0229,0.9302,0.001
120,0.023,0.9293,0.001
121,0.0244,0.9299,0.001
122,0.0224,0.9303,0.001
123,0.0221,0.9302,0.001
124,0.0227,0.9315,0.001
125,0.0221,0.9306,0.001
126,0.022,0.9305,0.001
127,0.0216,0.9313,0.001
128,0.022,0.9309,0.001
129,0.0229,0.9307,0.001
130,0.0217,0.9316,0.001
131,0.0229,0.9319,0.001
132,0.0221,0.9309,0.001
133,0.0228,0.9319,0.001
134,0.0215,0.9311,0.001
135,0.0217,0.9316,0.001
136,0.0215,0.9306,0.001
137,0.0225,0.9313,0.001
138,0.0218,0.9317,0.001
139,0.0223,0.9318,0.001
140,0.0212,0.9315,0.001
141,0.0219,0.9315,0.001
142,0.0213,0.9319,0.001
143,0.0217,0.9318,0.001
144,0.0207,0.9316,0.001
145,0.0226,0.9311,0.001
146,0.0215,0.9314,0.001
147,0.0213,0.9322,0.001
148,0.0208,0.9322,0.001
149,0.0207,0.9319,0.001
150,0.0215,0.9313,0.001
151,0.0212,0.9317,0.001
152,0.0211,0.932,0.001
153,0.0218,0.9319,0.001
154,0.0216,0.9332,0.001
155,0.0201,0.9319,0.001
156,0.0213,0.932,0.001
157,0.0216,0.9322,0.001
158,0.021,0.9324,0.001
159,0.0207,0.9308,0.001
160,0.0219,0.9314,0.001
